City,State,Country,Full Address,Longitude,Latitude,Region,Institution/Organization,Domain
Chicago,Illinois ,USA,"Chicago, Illinois , USA",-87.6297982,41.8781136,North America,Northwestern University,Psychology
,,Switzerland,", Switzerland",8.227511999999999,46.818188,Europe,University of Neuchatel,Ecology
Houston,Texas,USA,"Houston, Texas, USA",-95.3698028,29.7604267,North America,Rice University,Business Management
Santiago,,Chile,"Santiago, Chile",-70.6692655,-33.4488897,South America,Universidad Central de Chile,
Menomonie,Wisconsin,USA,"Menomonie, Wisconsin, USA",-91.9193422,44.8755183,North America,University of Wisconsin - Stout,Engineering
Montreal ,,Canada,"Montreal , Canada",-73.567256,45.5016889,North America,University of New South Wales,Ecology
Rexburg,Idaho,USA,"Rexburg, Idaho, USA",-111.7924237,43.8231096,North America,Brigham Young University-Idaho,Clinical Psychology
Gent,,Belgium,"Gent, Belgium",3.7174243,51.0543422,Europe,Université Grenoble Alpes  | University of Gent,Psychology
Nijmegen,,Netherlands,"Nijmegen, Netherlands",5.842828099999999,51.8448837,Europe,Max Planck Institute for Psycholinguistics,
Rochester,New York,USA,"Rochester, New York, USA",-77.6088465,43.15657789999999,North America,University of Rochester ,Social-Personality Psychology
Tucson,Arizona,USA,"Tucson, Arizona, USA",-110.9747108,32.2226066,North America,University of Arizona,
Chapel Hill,North Carolina,USA,"Chapel Hill, North Carolina, USA",-79.0558445,35.9131996,North America,University of North Carolina ,Data Services Librarian
Gent,,Belgium,"Gent, Belgium",3.7174243,51.0543422,Europe,Ghent University,Psychology
Nijmegen,,Netherlands,"Nijmegen, Netherlands",5.842828099999999,51.8448837,Europe,Max Planck Institute for Psycholinguistics,Cognitive Science
Grenoble,,France,"Grenoble, France",5.724524,45.188529,Europe,University of Grenoble,Social Cognition
South Bend,Indiana,USA,"South Bend, Indiana, USA",-86.25198979999999,41.6763545,North America,University of Notre Dame,Libraries/Research Data Management
Madison,Wisconsin,USA,"Madison, Wisconsin, USA",-89.4012302,43.0730517,North America, Mclean Hospital / Harvard Medical School,Clinical Psychology
Evanston,Illinois,USA,"Evanston, Illinois, USA",-87.68769689999999,42.0450722,North America,Northwestern University,Brain Stimulation & Cognitive Neuroscience Lab Manager
Salzburg,,Austria,"Salzburg, Austria",13.05501,47.80949,Europe,University of Salzburg,Psychology
,California,USA,", California, USA",-119.4179324,36.778261,North America,Rand Corporation,Psychology
Budapest,,Hungary,"Budapest, Hungary",19.040235,47.497912,Europe,Eotvos Lorand University,Psychology
Manchester,,England,"Manchester, England",-2.2426305,53.4807593,United Kingdom,Manchester Metropolitan University,Psychology
Gottingen,,Germany,"Gottingen, Germany",9.915803499999999,51.54128040000001,Europe,University of Göttingen,Personality Psychology
Colchester,,England,"Colchester, England",0.8918740000000001,51.895927,Europe,University of Essex,Judgement and Decision Making
Tübingen,,Germany,"Tübingen, Germany",9.0576448,48.5216364,Europe,Max Planck Institute for Biological Cybernetics,Psychology; Neuroscience; Human-Machine Interfaces
Lexington,Kentucky,USA,"Lexington, Kentucky, USA",-84.5037164,38.0405837,North America,University of Kentucky,Scholarly communication and digital scholarship
Cape Town,,South Africa,"Cape Town, South Africa",18.4240553,-33.9248685,Africa,University of Cape Town,Libraries  
,,Malaysia,", Malaysia",101.975766,4.210484,,St. Joseph's Institution International School Malaysia,
Williamsburg,Virginia,USA,"Williamsburg, Virginia, USA",-76.7074571,37.2707022,North America,The College of William and Mary,Social & Evolutionary Psychology
Chapel Hill,North Carolina,USA,"Chapel Hill, North Carolina, USA",-79.0558445,35.9131996,North America,University of North Carolina,Nutrition - NutriXiv
Toronto,,Canada,"Toronto, Canada",-79.3831843,43.653226,North America,University of Toronto,Libraries
Cardiff,,Wales,"Cardiff, Wales",-3.17909,51.48158100000001,United Kingdom,Cardiff University,Brain Stimulation & Cognitive Neuroscience Lab Manager
Toulouse,,France,"Toulouse, France",1.444209,43.604652,Europe,Brain and Cognition Research Centre,Cogntive neuroscience
Toronto,,Canada,"Toronto, Canada",-79.3831843,43.653226,Canada,University of Toronto,Ecology
Greenville,North Carolina,USA,"Greenville, North Carolina, USA",-77.3663538,35.612661,North America,East Carolina University,Health Sciences Libraries
Greenville,North Carolina,USA,"Greenville, North Carolina, USA",-77.3663538,35.612661,North America,East Carolina University,Libraries
,,USA,", USA",-95.712891,37.09024,North America,Tufts University,Libraries
Tempe,Arizona,USA,"Tempe, Arizona, USA",-111.9400054,33.4255104,North America,Arizona State University,Libraries
Salt Lake City,Utah,USA,"Salt Lake City, Utah, USA",-111.8910474,40.7607793,North America,University of Utah,Libraries
Montreal,,Canada,"Montreal, Canada",-73.567256,45.5016889,North America,MIA Cellavie Inc,Microbiology & Immunology
Kelowna,British Columbia,Canada,"Kelowna, British Columbia, Canada",-119.4960106,49.8879519,North America,University of British Columbia - Okanagan Campus,Biological and Earth Sciences
Kelowna,British Columbia,Canada,"Kelowna, British Columbia, Canada",-119.4960106,49.8879519,North America,University of British Columbia - Okanagan Campus,Libraries
Witten,,Germany,"Witten, Germany",7.353197000000001,51.4438926,Europe,Witten/Herdecke University,Experimental Psychology
,Reading,England,", Reading, England",-0.9781303,51.4542645,Europe,University of Reading,Cognitive Science
Columbia,South Carolina,USA,"Columbia, South Carolina, USA",-81.0348144,34.0007104,North America,University of South Carolina,Libraries
Thousand Oaks,California,USA,"Thousand Oaks, California, USA",-118.8375937,34.1705609,North America,Cal Lutheran University,Libraries
